,values_fd
103,31.626770896911637
104,16.887126274108937
105,13.461855392456073
106,0.8214846801757858
107,16.02741363525388
108,15.253694534301815
109,3.562235717773433
110,15.264530563354526
111,-57.533075180053686
112,13.30107494354246
113,25.32410755157474
114,-2.072603912353543
115,0.6293740463256654
116,10.933351516723633
117,9.143035469055178
118,19.301540527343718
119,14.731546516418462
120,25.43630756378178
121,15.027600364685043
122,7.992252349853516
123,14.966452140808144
124,31.295237884521498
125,16.82566860198972
126,2.976368331909157
127,19.002398605346684
128,11.43119232177736
129,30.14823253631596
130,0.5258242416381904
131,3.8166051101684957
132,19.860178527832034
133,12.208505096435545
134,8.570970840454095
135,18.787651557922345
136,27.505819435119633
137,11.551961517334007
138,22.623996047973662
139,14.174335517883264
140,17.9223251342774
141,11.850579147338863
142,0.4407649993896712
143,14.279372673034686
144,12.726391105651828
145,14.893491287231427
146,13.837692947387666
147,11.471128196716279
148,12.21412422180174
149,6.585169219970737
150,9.974771385192867
151,11.642577743530296
152,13.815256004333492
153,23.006759300231977
154,23.462448654174807
155,21.290271530151358
156,15.316783561706586
157,24.38531394958494
158,15.347614135742276
159,34.245189743041976
160,32.29375228881838
161,4.502055358886764
162,-12.048916625976517
163,28.689468383789062
164,5.52824928283701
165,33.79636154174807
166,27.692242355346707
167,29.19126884460445
168,49.11107849121095
169,46.94515319824211
170,22.570063095092678
171,-3.0656934356688907
172,35.93580810546871
173,13.311498947143605
174,30.49913063049314
175,30.782642822265643
176,4.866742630004978
177,3.640207672119118
178,18.724182968139644
179,2.4662194824218204
180,14.757612838745104
181,27.10860656738282
182,29.743297729492156
183,6.994520111084057
184,27.370034179687423
185,21.28499816894532
186,17.632812805175718
187,18.20445732116707
188,34.18372665405275
189,13.694675598144613
190,16.88142715454103
191,12.344864654541084
192,5.987316894531318
193,9.153727722168014
194,0.16576950073238095
195,18.678603668212872
196,22.180048217773447
197,18.785414123535134
198,27.70963256835944
199,22.527457046508744
200,22.9884915161133
201,36.49756202697756
202,22.44305953979483
203,6.2580431365967115
204,-0.20082664489746094
205,33.7004582214355
206,7.733681564331164
207,5.6560337066650845
208,22.687178192138617
209,21.98387092590326
210,14.904679183959956
211,24.90718093872067
212,11.291982955932554
213,14.770563354492197
214,20.65212387084955
215,19.7915982055664
216,19.57765968322758
217,16.277133712768546
218,5.7150098419189135
219,11.689988784790103
220,19.39956909179682
221,6.038692550659221
222,20.234544525146475
223,28.844226684570344
224,17.75010375976558
225,13.162268524169917
226,27.503809890747107
227,12.475556182861283
228,15.599211807250981
229,7.2360762786864825
230,17.276141586303652
231,27.291062774658258
232,25.02403289794927
233,10.646947860717773
234,13.730145416259802
235,17.838516006469717
236,27.846558990478457
237,17.791525115966806
238,20.14314842224121
239,17.155779495239358
240,31.39066238403325
241,28.275569839477612
242,9.359476242065512
243,24.929586563110433
244,19.33609138488771
245,4.707894973754833
246,20.800722961425777
247,27.877711410522465
248,25.805422134399464
249,15.522066497802825
250,34.306936264038086
251,-10.595291290283171
252,14.619662475585983
253,25.185865936279242
254,19.868367233276444
255,21.40623016357415
256,26.41209930419916
257,40.39327415466312
258,23.760935363769477
259,45.55809196472171
260,14.756414871215839
261,5.658995590209997
262,11.812458496093768
263,-4.243998641967778
264,14.508642730712836
265,12.28896850585943
266,7.93055068969727
267,11.666815261840839
268,20.886456222534207
269,22.36267784118661
270,-2.8330118560791107
271,15.076595458984343
272,32.08094833374025
273,17.532630920410156
274,13.033585205078111
275,17.46258613586417
276,18.772044982910188
277,19.970951232910124
278,15.178394927978502
279,16.704791336059657
280,-6.337430572509788
281,-2.4732897949218113
282,22.870578536987296
283,17.470714797973642
284,28.830492858886714
285,16.881753692627058
286,13.453230285644509
287,29.076448211669913
288,14.103241500854551
289,5.191613388061569
290,15.899573135375931
291,21.25929344177257
292,18.467966079711914
293,12.24380050659181
294,21.37206382751458
295,22.04745262145991
296,22.35593994140629
297,30.655196304321294
298,17.91841629028329
299,17.743758926391592
300,8.671588821411092
301,1.9420237731933412
